id,edad,experiencia_laboral_anios,ingresos_mensuales,integrantes_familia,tdc_monto_promedio_mensual,escolaridad,hipoteca_monto_total,posee_prestamo,uso_portal,uso_tdc
1,25,1,49000,4,1600,Superior,0,0,0,0
2,45,19,34000,3,1500,Superior,0,0,1,0
3,39,15,11717,1,16204,Superior,0,0,0,0
4,35,9,72332,1,2700,Elemental,0,0,1,0
5,35,8,37849,4,1000,Elemental,0,0,0,1
6,37,13,10738,4,14799,Elemental,1550000,0,1,0
7,53,27,43417,2,1500,Elemental,0,0,1,0
8,50,24,22000,1,300,Medio Superior,0,0,0,1
9,35,10,54182,3,600,Elemental,1040000,0,1,0
10,34,9,180000,1,8900,Medio Superior,0,1,1,0
11,65,39,105000,4,2400,Medio Superior,0,0,1,0
12,29,5,39830,3,100,Elemental,0,0,1,0
13,48,23,114000,2,3800,Medio Superior,0,0,0,0
14,59,32,29363,4,2500,Elemental,0,0,1,0
15,67,41,112000,1,2000,Superior,0,0,0,0
16,60,30,22000,1,1500,Medio Superior,0,0,1,1
17,38,14,130000,4,4700,Medio Superior,1340000,1,1,0
18,42,18,81000,4,2400,Superior,0,0,0,0
19,46,21,193000,2,8100,Medio Superior,0,1,0,0
20,55,28,6273,1,500,Elemental,0,0,0,1
21,56,31,15334,4,13021,Elemental,1110000,0,1,0
22,57,27,63000,3,2000,Medio Superior,0,0,1,0
23,29,5,62000,1,1200,Superior,2600000,0,1,0
24,44,18,43000,2,700,Superior,1630000,0,0,0
25,36,11,152000,2,3900,Superior,1590000,0,0,1
26,43,19,29000,3,500,Superior,970000,0,1,0
27,40,16,83000,4,200,Medio Superior,0,0,0,0
28,46,20,158000,1,2400,Superior,0,0,1,1
29,56,30,48000,1,2200,Medio Superior,0,0,1,1
30,38,13,93415,1,3300,Elemental,0,1,1,1
31,59,35,35000,1,1200,Medio Superior,1220000,0,1,0
32,40,16,22763,1,2000,Elemental,0,0,1,0
33,53,28,41000,2,600,Medio Superior,1930000,0,0,0
